
Tossal de les Torretes; Noguera; Montsec de Rúbies, Prepirineu; 1.676,4 m 
Sant Alís; Noguera, Pallars Jussà; Serra del Montsec; 1.675,3 m 
Tossal de Mirapallars i Urgell; Noguera; Lleida; 1.672,4 m 
Puig Sesolles;  ; massís del Montseny, Serralada Prelitoral; 1.667,3 m 
Puig Sacarbassa;  ; massís del Montseny, Serralada Prelitoral; 1.658,8 m 
Turó de la Bandera;  ; massís del Montseny, Serralada Prelitoral; 1.658,3 m 
Turó Gros (Sant Celoni);  ; massís del Montseny, Serralada Prelitoral; 1.640,2 m 
Puig Sacreu;  ; massís del Montseny, Serralada Prelitoral; 1.626,2 m 
Bony dels Escarrerals; Pallars Sobirà; Pirineus; 1.618,3 m 
lo Coscollet; Alt Urgell; Lleida; 1.610,1 m 
Montfalgars; Ripollès; Girona; 1.608,1 m 
Turó Sesportadores;  ; massís del Montseny, Serralada Prelitoral; 1.603,3 m 
Turó del Mig;  ; massís del Montseny, Serralada Prelitoral; 1.581,8 m 
Turó de Morera;  ; massís del Montseny, Serralada Prelitoral; 1.576,6 m 
Comanegra; Garrotxa, Vallespir; Pirineus; 1.551,8 m 
Turó Gros d'en Pujol;  ; massís del Montseny, Serralada Prelitoral; 1.551,1 m 
Puig de l'Obiol; Osona, Ripollès; Serra de Milany, Serralada Transversal; 1.543,6 m 
Turó Gros;  ; massís del Montseny, Serralada Prelitoral; 1.540,6 m 
Milany; Osona, Ripollès; Serra de Milany, Serralada Transversal; 1.533,3 m 
Turó de Sant Marçal;  ; massís del Montseny, Serralada Prelitoral; 1.528,1 m 
El Cogul; Solsonès; Lleida; 1.526 m 
Puigsacalm; Garrotxa; Serralada Transversal; 1.512,6 m 
Puigsacalm Xic; Garrotxa, Osona; Serralada Transversal; 1.490,5 m 
Turó del Faig Sec;  ; massís del Montseny, Serralada Prelitoral; 1.487,0 m 
Montllobar;  ; massís del Montseny, Serralada Prelitoral; 1.460,2 m 
Roc del Comptador; Alt Empordà; Serra de les Salines, Pirineus; 1.450,9 m 
El Moixer; Alt Empordà; Serra de les Salines, Pirineus1.443 m
Mont Caro; Baix Ebre; Ports de Tortosa-Beseit, Sistema Ibèric; 1.440,6 m 
Roc de Frausa; Alt Empordà; Serra de les Salines, Pirineus; 1.421,3 m 
Turó de Sant Segimon;  ; massís del Montseny, Serralada Prelitoral; 1.407,2 m 
Turó de Castellar;  ; massís del Montseny, Serralada Prelitoral; 1.400,4 m 
Turó d'en Bessa;  ; massís del Montseny, Serralada Prelitoral; 1.393,3 m 
Sant Mamet; Noguera; Prepirineu; 1.390,5 m 
Turó del Pla de la Barraca;  ; massís del Montseny, Serralada Prelitoral; 1.382,2 m 
Puig de Bassegoda; Alt Empordà, Garrotxa; Pirineu; 1.373,4 m 
Tossal dels Tres Reis; Montsià, Matarranya, Baix Maestrat; Ports de Tortosa-Beseit, Sistema Ibèric; 1.350,3 m 
Sant Corneli; Pallars Jussà; Prepirineu; 1.351,0 m 
Tossal d'en Cervera; Baix Maestrat, Montsià; Ports de Tortosa-Beseit, Sistema Ibèric; 1.347,5 m 
Puig Drau; Vallès Oriental, Osona; massís del Montseny, Serralada Prelitoral; 1.345,0 m 
el Negrell; Montsià, País Valencià; Ports de Tortosa-Beseit, Sistema Ibèric1.345,0 m
